id,topic,summary
228,Apologize,"Joey apologizes to Phoebe for saying her method is stupid and asks her to be his teacher again. Phoebe says she's not ready, but Joey thinks she is."
229,A blackout,Chandler calls Jill to ask her to save his life. Jill tells him she had a great blackout and gives him a copy of the tape.
230,Fashion talk,#Ross# and #Lecturer# are talking about the fashion. #Ross# is glad they came and #Lecturer# is pretty.
231,Phone call,Ross is off the phone and Rachel tells him to go home. Rachel tells him she can't talk now because she's got a deadline. Ross is angry and asks her to talk to him later.
232,A doctor's visit,#Monica# asks Chandler to get together with her when they're 40. #Chandler# thinks #Monica# is unmarriable because she's not married yet. #Rachel# asks #Monica# to go home and change because she wants to look nice. #Chandler# asks #Rachel# where the doctor is.
233,Merry christmas,"#Ross# is the holiday armadillo and he's a friend of Santa's. #Monica# asks #Ross# what happened to Santa, Holiday Armadillo."
234,Candy making,Monica tells Chandler that the sign didn't work. Chandler suggests that Monica stop making candy. Monica tells Chandler that she became a chef because people would like her.
235,Dance the world,#Monica and Ross are on the platform ready to dance the world into the new millennium. #Monica is telling #Rachel that #Monica and Ross are doing the routine from eighth grade. #Rachel thinks #Monica and Ross can't do it.
236,Buy a t-shirt,"Joey and Chandler are shopping for scarves and tulip post cards. Joey thinks Chandler is embarrassed because he wears the ""I'm with stupid"" T-shirt. Chandler says tourists wear the t-shirts. Joey chooses the hat."
237,The empty vase,"#Monica# tells #Julio# she's an empty vase because she doesn't read as many important books as he does, and she doesn't write trick poems that seem to be about one thing but are actually about something else. #Julio# thinks the poem is about her."
238,Mini-van break-in,#Phoebe# breaks into the mini-van and puts it in neutral. Ross will drive out of his spot.
239,Computers and humans,#Ross# and #Janine# discuss the possibility of computers that can carry out the same number of functions as an actual human brain. #Ross# thinks it's a scary idea.
240,Airplane discussion,Monica is explaining to David how a plane stays in the air. Chandler thinks it has something to do with wind. Phoebe thinks they should share a cab to the airport.
241,A party,#Phoebe# invites #Rachel# to a party because her sister invited her. #Rachel# thinks #Phoebe# is hanging up on Mike and #Rachel# thinks #Phoebe# should look fabulous. #Joey# thinks #Phoebe# is ruining it.
242,Break up with someone,Chandler apologizes to Julie for breaking up with her because she was overweight.
243,Ross and Rachel's relationship,Ross and Rachel are talking about their relationship. Ross asks Rachel to marry him and she says she can't because she's pregnant.
244,Sex advice,#Ross# thanks #Ross#'s friends for their advice. #Ross# thinks about what they said and decides to have sex tonight.
245,Wedding planning,#Phoebe# tells #Monica# that #Phoebe# and #Monica# were so busy planning the wedding that #Phoebe# forgot about all the things that #Monica#'d be giving up. #Phoebe# thinks #Monica# will have a last kiss.
246,A relationship,#Ross# and #Mona# are talking about their relationship. #Mona# apologizes for her father's behavior. #Ross# tells #Mona# how they used to date and they are going to have a baby.
247,Argument over clothes,Joey and Phoebe are arguing about the clothes. Phoebe thinks Joey has stolen her maternity pants and Joey thinks Phoebe stole his Thanksgiving pants.
248,Play the game,#Phoebe# and Monica are playing the game. Monica is upset that Phoebe is hogging the game.
249,Make a turkey,Joey and Monica are discussing the idea of having a turkey on Thanksgiving. Joey thinks it's worth it to make a whole turkey for just three people. Monica thinks it's a lot of work. Joey promises to finish the turkey.
250,Cube,#Phoebe# and #Chandler# are amazed by the size of the cube.
251,Painting with left hand,#Rachel# can't use her left hand to paint because of the pain. #Ross# helps her to paint.
252,Ask questions,#Dr. Baldhara# asks Ross questions about Marcel. Ross answers them. #Dr. Baldhara# thinks Marcel is docile but he's not. #Dr. Baldhara# thinks Marcel is a good animal but Ross thinks he's cruel. Ross tells #Dr. Baldhara# Marcel is in San Diego.
253,Ask for help,Janice asks Chandler to thank whoever knocked on the door while Chandler was in the bathroom. Janice asks Chandler to make her deposit and then tells Chandler that the hard part is over.
254,Lost purse,#Monica# is angry because #Monica# thinks #Monica# lost her purse. #Phoebe# tells #Monica# that #Monica# can't have it.
255,Sexual intercourse,#Monica# and #Young Ethan# have sex and #Monica# tells #Young Ethan# that #Monica# was born in the year of the monkey. #Monica# thinks #Young Ethan# shouldn't be here because it's a school night. #Monica# is Joan Collins.
256,Pregnant problem,#Rachel# is still not pregnant. #Ross# tells her that with seahorses it's the male who carries the babies. #Rachel# is uncomfortable and tells #Ross# to get out.
257,Watch the news,#Joey and Rachel are watching the news about the earthquake in Haiti. They are terrified.
258,Dating the nurse,#Monica tells #Chandler that she's going to get out of dating the nurse. #Chandler is fine with it.
260,Break and enter,Phoebe is upset because her namesake cancelled on her. Rachel comforts her and tells her that it's okay. Phoebe decides to break and enter her namesake's house to find out where her father is.
261,Puppies,#Phoebe Sr. and #Phoebe Sr. are talking about puppies. #Phoebe Sr. thinks puppies are cute but #Phoebe Sr. is mad at #Phoebe Sr. because #Phoebe Sr. is mad at #Phoebe Sr. too.
262,Pull off a band-aid,Janice tells Chandler to stop it. Chandler thinks it's just like pulling off a Band-aid.
263,Engaged talk,#Phoebe# and #Monica# are talking about #Monica's engagement. #Phoebe# tells #Monica# #Phoebe# thinks #Monica# should take a lover to satisfy the needs that Chandler can no longer fulfill.
264,Homemade gifts,"Ross tells Chandler that he's always aware of Chandler's unagi because he's always aware of Ross's jokes. Ross makes an exact replica of Apollo 8, but Chandler can't give it to Monica because it says ""Captain Ross"" on the side and ""I hate Monica"" on the bottom."
265,Wedding talk,Janice is angry with Clark for not showing up. Monica tells Janice about her wedding.
266,Wedding preparation,Chandler tells Chandler that there was something they wanted to tell him about the wedding.
267,Small wedding,Chandler tells the wedding ceremony will be small because the bride is pregnant.
268,Small party,#Chandler# and #Chandler#'s friends are having a small party. #Chandler# doesn't know why they're having it.
269,Family talk,#Janice asks #Monica whether #Janice can sing. #Monica thinks #Janice is family.
270,Bring reinforcements,#Ross# is angry because #Rachel# brought Joey. #Rachel# brings the next best thing.
271,A discussion,Joey and Rachel are talking about Katie. Rachel thinks Katie is too much. Joey thinks Katie is sweet. Rachel wants to walk out the door if Katie doesn't do something.
272,Hitchhiker,#Phoebe# is worried about the hitchhiker. #Joey# tells #Phoebe# that the hitchhiker is a good guy and he's not a rapist. #Phoebe# tells #Joey# to sleep.
273,Pick an engagement ring,"#Chandler# asks #Phoebe# to help him pick out an engagement ring for Monica. #Phoebe# tells #Chandler# that #Chandler# told her about the ring, but #Chandler# doesn't want Monica to know. #Ross# and #Joey# tell #Chandler# they can go to the coffeehouse."
274,A stripper stole the ring,Joey is mad at Chandler for sleeping with the stripper. Joey thinks the ring is gone and the stripper stole it.
275,Make a pair of paste pants,#Ross# and #Joey# are talking about the problem of making a pair of paste pants. #Rachel# has a problem and asks #Joey# for help. #Joey# refuses to tell anyone and tells #Rachel# the secret.
276,Find a floor,#Rachel# and #Joey# are looking for a piece of floor that doesn't have floor on it.
277,Joey's interview,#Joey# tells #The Interviewer# that #Joey# was on the show years ago and then they killed #Joey# off. #Joey# says that #Joey# said some stuff in an interview that #Joey# shouldn't have said.
278,Discuss the living situation,Phoebe and Rachel are talking about the living situation. Phoebe is glad that the drums are not unbearable.
279,School and gym,#Joey is angry with Treeger because he made #Rachel cry. #Monica thinks it's best to forget about it and #Chandler is strong enough to face her on his own.
280,The past,#Phoebe# and #Rachel# talk about the past. #Phoebe# thinks it's in the past and doesn't care. #Rachel# thinks it's still in the past and doesn't care.
281,Wearing underwear,#Joey# and #Phoebe# are talking about #Phoebe# wearing Jake's underwear. #Phoebe# says #Phoebe# dared him to try them on. #Joey# thinks it's hot.
282,Women's underwear,"#Phoebe, #Joey, and #Joey's friend Jake discuss women's underwear."
283,High heels,#Phoebe# and #Joey# are talking about Jake's high heels. #Phoebe# thinks Jake is insecure and only a man completely secure with his masculinity could walk around in women's underwear. #Joey# thinks Jake is a lumberjack.
284,Cowboy theme,#Phoebe# tells Rachel that she likes the idea of a cowboy theme.
285,Breastfeeding,Rachel tells Joey that Emma won't take her breast. Joey thinks it's because of the size of her nipples. Rachel tells him that Emma looks scared.
286,Going to see doctor,Chandler is going to see Dr. Pillman. Rachel asks him where he's going. Chandler says he has an appointment to see Dr. Pillman.
287,Discuss a relationship,Joey tells Chandler that tomorrow night depends on how tonight goes. Chandler thinks that Joey is needy and vulnerable. Joey thinks Chandler has not been out with a woman since Janice.
288,A birthday party,"Ross tells Rachel that he wants to go out with Monica, but Rach thinks he's a big coward. Ross says he's a bigger person than Rach. Rach thinks Ross is a coward and asks Ross to go out with Monica."
289,Work life,"#Phoebe# asks #Earl# to hang up because she thinks he's about to kill himself. #Earl# tells her he's been working for ten years at this meaningless, dead-end job and nobody here even knows he exists."
290,Apologize,Earl apologizes to the woman for not being able to help her.
291,Ghost stories,#Phoebe# thinks #Earl# is a ghost because people know #Earl# exists.
292,Suicide plan,#Earl# tells #Earl# has been talking to #Earl# for five minutes about killing #Earl#self and no one's even looked up from their desk. #Earl# then tells #Earl# will kill #Earl#self.
293,Win over the guy,Joey is worried about losing his job because he can't get the control of C.H.E.E.S.E. to the guy who controls it. Monica suggests Joey to win over the guy who controls C.H.E.E.S.E. by kissing his ass.
294,Yelling at someone,#Rachel# is yelling at #Paul# because #Rachel# thinks #Paul# is yelling at her.
295,A date,#Joey# is angry because #Phoebe# has a date with a scientist. #Phoebe# tells #Joey# that #Phoebe# is going to see the scientist and #Joey# is still angry.
296,Meet with doctor,Ross is late for the meeting with Dr. Oberman because he was stuck at work. Susan introduces Dr. Oberman to Ross. Dr. Oberman is supportive and Barry introduces Robbie to Ross.
297,Hold on,#Monica# asks Phoebe to hold on for one minute.
298,Play game,Ross and Monica are playing a game in the snow. Ross wants to take the ball and Monica doesn't want to. Ross wants to play but Monica doesn't.
299,Car size,#Joey thinks he can fit in the car. #Chandler bets #Joey can't.
300,Watch a game,#Joey# and #Lydia# are watching the Knicks game. #Lydia# thinks the Knicks suck and #Joey# thinks the Celtics are good. #Joey# thinks the Knicks need a father.
301,A choking emergency,"#Barry# and Bernice are worried about Jason's choking on his retainer. #Barry# will go back to Aruba to help Jason. #Rachel# tells #Barry# to stop hogging the ball and take a couple punches. #Mindy# still wants to be Mrs. Dr. Barry Farber, D.D.S."
302,Tell robert,#Phoebe# tells #Ross# and #Chandler# that Robert will be here any second. #Ross# and #Chandler# tell Robert not to go up to him. #Phoebe# tells Robert to go rock climbing.
303,Play a game,#Monica and #Phoebe are playing a game. #Phoebe thinks it's time to quit playing. #Monica tells #Phoebe that the game is a game and not a way to waste time.
304,Retile the floor,Chandler tells Phoebe that Joey is retiling the floor. Phoebe tells him to finish it.
305,Second thoughts,Chandler and Chloe are talking about their customers. Chloe's friend JoJo and Issac are having second thoughts about their copying needs. Chloe asks them to come to the Philly.
306,Breakup,Ross and Carol talk about their breakup. Ross tells Carol that he broke up with Rachel because she got a new job.
307,Love talk,#Monica tells #Ross# #Monica's fantasy about Emily. #Monica's fantasy is to live out #Monica's fantasy with Emily. #Ross' answer is that #Ross' love is only going to be two weeks. #Monica thinks #Ross' answer is not good.
308,Sales interview,#Phoebe# is interviewed by the supervisor. They will do a trial run.
309,Calling Kathy,Chandler calls Kathy and asks her to stop running.
310,Maternity clothes,Phoebe asks Monica if she still has some of the old blouses and dresses from high school. Monica tells her that she made a pile of her stuff over on this side of the room.
311,Catering business,Phoebe and Monica show Ross their catering business. Ross thinks they're going to keep it this way but they're going to paint over the sword and replace it with a baguette.
312,A quarrel,Ross and Rachel are arguing because Ross thinks Rachel still loves him. Rachel doesn't want to forgive him but sometimes when she's with him she feels so. Ross thinks he can't forgive her but he wants to play strip poker with her.
313,Locked door,"#Chandler# and #Joey# are trying to open the door. #Chandler# thinks it's stuck, but #Joey# fixes it."
314,Wedding talk,"Rachel, Phoebe, and Joey are talking about Chandler and Monica's wedding. Rachel is 98% happy and Phoebe is 2% jealous."
315,Food critic,Ross asks Monica to fill in for Cilantro Larry as food critic for the Chelsea Reporter. Monica accepts the offer and the group is happy.
316,Apology,#Chandler apologizes over the phone to #Joey because he kissed #Joey's girlfriend.
317,A note,Phoebe tells Rachel that Joseph Francis left her a note. Rachel thinks it's a nickname and Joey thinks it's a rule. Phoebe tells Rachel that she expects Joey to show up when they make plans.
318,A boyfriend,#Monica and #Chandler are talking about #Rachel's boyfriend who was in the hospital.
319,Conquer the physical world,#Pete# tells #Monica# he wants to conquer the physical world. #Pete# wants to become the Ultimate Fighting Champion and #Monica# wants to be close enough to smell the blood.
320,A ruptured spleen,#Chandler# tells #Monica# that #Chandler# was the ruptured spleen and #Monica# should be with #Chandler. #Monica# thinks #Chandler# is joking. #Chandler# explains that #Chandler# is the ruptured spleen because #Chandler# is a doctor and #Monica# is a nurse.
321,Sex talk,#Phoebe# and #Eric# are talking about their sex. #Phoebe# thinks #Eric# had sex with someone that looked an awful lot like her.
322,Hooker,"Stu tells Monica that he met a hooker. Monica is shocked and asks if she's a hooker. Stu reassures her that she is a hooker and she's the best, most expensive date he ever had."
323,Find a boyfriend,#Monica# tells #Monica# that she will never find a boyfriend again.
324,Friends' story,Joey tells Phoebe the story of the Friends. Joey thinks Chandler and Monica's relationship was funny and he doesn't know what happened with Ross and Rachel's kiss.
325,,
326,Pregnant woman,Rachel tells Phoebe that she's pregnant and wants to have a baby with her boyfriend. Phoebe is shocked and asks if she's sure. Rachel says she is.
327,Play chess with Ross,#Phoebe# tells #Ross# she remembers playing chess with #Ross# on the frozen lake. #Ross# says he was Cameron Diaz at that time.
328,Jill's leaving,Jill tells Ross and Joey that she's leaving because Rachel sabotages her every move. Ross and Joey are surprised and say goodbye to Jill.
329,Moving stuff,"#Rachel, #Phoebe, and #Monica are talking about Monica's moving. #Rachel thinks #Monica is mad because #Monica's stuff is in the box. #Phoebe thinks #Monica is mad because #Monica is moving."
330,Shopping for clothes,Joshua and Rachel are shopping for clothes. Rachel brings a trench-coat that Joshua wants.
331,London talk,#Phoebe# and #Chandler# are talking about London. #Phoebe# feels sad because she couldn't be there. #Monica# tells #Phoebe# #Rachel# got herself a date tomorrow night.
332,Party experience,#Ross# and #Joey# are talking about their experiences at the party. #Ross# thinks #Joey# is the nice one but #Joey# thinks #Ross# is the one who danced with the kids all night.
333,Save the seat,#Joey# asks the tour guide to save the seat for Dr. Geller.
334,Apologize,Joey apologizes to Kathy for hitting her dog. Kathy tells him it's okay and tells him she'll talk to him tomorrow.
335,Join the museum,Ross tells Dr. Ledbetter he's back on his feet and is re-joining the museum team.
336,Sell the box,"Ross sold the box of the mint treasures and Monica wants to buy a couple more boxes. Ross tells Monica that he sold five hundred and seventeen boxes, and Monica thinks Ross is a genius. Ross thinks Monica is a genius too. Ross tells Monica that he started selling cookies by the case and Monica needs envelope stuffers, stamp lickers, and resume writers."
337,Hotel room,"Ross tells Chandler that the soap, shampoo, and disposable camera are built into the price of the room. Chandler asks Ross to help him look for them, but Ross tells Chandler he'll help him in three minutes."
338,Work in fashion,Joshua introduces Rachel to his parents. Rachel tells them that she works in fashion and has a real dress that's worn in Milan. Joshua thinks it's a dress and asks if she'll wear it. Rachel says she'll wear it after they eat.
339,Talk back,#Joey# is angry with #Monica# for telling him off to the chef. #Joey# tells #Monica# that he should have thought about his wife and kids before talking back to the chef.
340,See the paper,Chandler asks for the paper to be shown to him.
341,Look at the clothes,Joey takes a look at the clothes in the store.
342,A game,Ross and Chandler are playing a game in the bar. Ross loses and Chandler wins. Chandler tells Ross that he can either spin the wheel or pick a Google card. Ross chooses Mr. Bing. Chandler tells Ross that he got all of Ross's points.
343,Calling Monica,Ross calls Monica to tell her that he is coming to see her.
344,Flirt with a woman,Joey flirts with a woman on the third floor. Monica thinks he's flirting with her.
345,Massage experience,#Rachel# feels free and graceful after #Rachel# has a massage. #Phoebe# tells #Rachel# #Rachel# feels like a horse.
346,Nervousness,#Chandler# is nervous because #Monica# is allergic to his clothes. #Chandler# asks #Monica# to let the guys come visit.
347,Find out the truth,"Monica and Chandler are out of soda and Monica asks Chandler to go out and get some. Monica finds out Phoebe is her birth Mom and Phoebe is a big, fat abandoner. Monica tells Joey to leave Phoebe alone."
348,Wedding stories,#Ross tells #Rachel that they never got to hear about #Ross's wedding.
349,Invite the friends,"Monica invites Ross and Phoebe to eat dinner at the restaurant. Phoebe's licence has been revoked again, but Chandler is going to surprise them."
350,A drink,#Chandler# and #Monica# are having a drink at the bar. #Chandler# tells #Monica# that #Chandler# should go because one of the lifeguards was about to dismantle a nuclear device.
351,Refuse to marry,Ross tells Dr. Green that he got Rachel pregnant. Dr. Green thinks he is a fool and asks why he refuses to marry Rachel. Ross explains that he loves Rachel like a friend and offers to marry her but he doesn't want to.
352,Wenus,Fran tells Chandler that she is not happy with the WENUS. Chandler tells Fran that she will care about it.
353,New guy,#Annabelle tells #Joey about the new guy.
354,Birds and broom,Mr. Heckles wants birds and Monica tells him to keep it down. Ross tells Mr. Treeger that he was sweeping yesterday and Mr. Treeger thinks it could've been him.
355,Absence of Chandler,#Rachel and Phoebe are talking about Chandler's absence.
356,Making jam,#Monica# is making jam at 4 am. Joey tells Chandler that he had a story but then Chandler sold him out. Rachel asks why they never have jam at their place. Monica tells Joey that she needed a plan to get over her man.
357,Borrow goggles,#Joey and #Chandler are talking about #Joey's goggles. #Chandler thinks #Joey is mad at #Joey for borrowing his goggles.
358,Dentist's death,"Phoebe tells Ross that she can't see the dentist because every time she goes to the dentist, somebody dies. Ross thinks it's a coincidence. Phoebe doesn't. She tells Ross that she took good care of her teeth and saved lives."
359,Calling Ross,#Emily# calls Ross because she feels terrible about how she acted when he said those wonderful things. #Ross# is glad she called.
360,A birthday party,Ross suggests Monica and Chandler stay for one song. Monica thinks it's rude to leave now.
361,Celebrities and sex,Ross tells Rachel he's got three celebrities he can sleep with. Rachel thinks he's giving this a lot of thought. Ross thinks Elizabeth Hurely is forgiving and Susan Sarandon is political. Rachel thinks Isabella Rosselini is too international and Rosselini is too hot and sexy. Ross thinks he has to play the odds and picks somebody who's gonna be in the country like all the time.
362,A baby,#Rachel# feels that #Ross# is making up crap for her and thinks #Ross# wants to keep #Ross#'s baby. #Dr. Long# thinks #Rachel# is ready to go to the delivery room.
363,Missing parents,#Rachel tells #Carol that #Carol's parents are not here yet.
364,Go to hospital,Carol tells the news reporter that she is going to the hospital to have an operation.
365,A flight attendant,#Rachel# asks the flight attendant to give a message to her friend. The flight attendant tells her that she is not allowed on the jetway unless she has a boarding pass. #Rachel# thinks she is talking to her friend but she is not.
366,Break up,Chandler and Janice are talking about their relationship. Janice thinks they're different and Chandler thinks she's different. Janice thinks she's ok and asks Phoebe to help her. Phoebe tells Chandler to go to his happy place.
367,Double the money,"Chandler asks Joey to double the money. Joey thinks it's a joke. Chandler tells Joey that in Cups, once you get $700, you have to double it. Then Joey gets one card."
368,Presenting the private very special space camp,#Ross# apologizes to #Ross#'s friend #Ross# didn't get to go to Spacecamp. #Ross# hopes that the present will make up for it.
369,Trip to china,Ross tells the story of his trip to China.
370,An asteroid,Ross and Chandler are playing a game and Ross accidentally calls an asteroid.
371,Pick up sperm,#Monica tells #Joey that she's going to the bank to pick up her sperm.
372,Intense and creepy,#Phoebe# tells #Roger# that her friends don't see all the good stuff and all the sweet stuff in #Roger#. #Phoebe# thinks #Roger# is creepy.
373,Eat with friends,#Joey tells #Chandler that #Chandler got him. #Chandler tells #Joey he got him because he's not eating anything.
374,Honeymoon gift,#Monica# and #Chandler# are celebrating their honeymoon. They are disappointed with the hotel's gift. #Monica# wants to get free stuff and #Chandler# wants to be together.
375,Apology,#Rachel# apologizes to #Mr. Zelner# for touching his arm.
376,Body talk,#Joey# and #Phoebe# talk about #Joey#'s body.
377,Late for a seminar,#Ross# is late for a graduate seminar because #Ross# forgot to take the subway. #Ross# is upset because #Ross# can't teach the seminar in the new building.
379,Do the project,#Mark# tells Rachel that he doesn't want to do the project because he doesn't want to do it for the wrong reasons. Rachel is doing it to get back at Ross. #Mark# is here for Rachel.
380,Phone call argument,#Mark# and Rachel are arguing about the phone call. #Mark# thinks Rachel is too sensitive and she thinks #Mark# is too sensitive. #Rachel# apologizes and they get back at #Mark#.
382,Future fashion superstar,Joey introduces Dina to Rachel. Dina is a future fashion superstar.
383,A movie,Joey and Rachel are talking about a movie that Joey saw once. Rachel feels weird and not good weird. Joey thinks everything will be fine.
384,Introduce yourself,Jim introduces himself to Phoebe. They'll be seeing each other at dinner tomorrow night.
385,Broken arm,#Ross# and #Phoebe# are talking about #Ross#'s broken arm. #Ross# thinks it's stupid to have chalk on his face.
386,Surprise girl,Ross is surprised to see a girl he met in the bar in the street.
387,A lesbian,Ross tells Monica that Phoebe thinks the grass is real grass. Monica asks Ross if he's okay.
388,Bathroom floor,#Joey tells Monica that #Joey saw the tiles on sale at the hardware store. #Joey thinks the bathroom floor is old and dingy. #Monica thinks the tiles are nice and they can put them back after the surgeons remove them from #Joey's colon.
389,Pheebs' mom,Phoebe tells Joey that her mom fell asleep on her tummy and purred.
390,Concert tickets,#Joey and Rachel are talking about the tickets for the concert. #Joey thinks #Rachel's idea will work.
391,Report a robbery,Phoebe calls the police to report a robbery.
392,Joey calls,Joey calls to see how Phoebe and the duck are doing. Phoebe answers and tells Joey that the chick and the duck are having fun.
393,First time in the rugby field,#Ross' first time in the rugby field is a disaster. #Emily tells Liam to tell the lads to go easy on #Ross.
394,Spend wedding fund,#Mrs. Geller apologizes to #Monica for spending her wedding fund on the beach house.
395,Best nap,Ross tells Joey that he had the best nap ever. Joey wants to do it again. Ross tells him that it's over.
396,Girlfriend,Ross tells his friend that it's weird to have a girlfriend.
397,Breakfast at home,#Joey# brings warm milk and orange juice to #Ross# for breakfast.
398,A pig,#Rachel# is embarrassed because #Rachel# hit on #Phoebe#'s boyfriend. #Phoebe# apologizes and #Rachel# says #Phoebe# is the one who hit on him.
399,Get car back,Rachel calls the pig man to ask him to help her to get her car back.
400,New boyfriend,#Rachel# is embarrassed because #Phoebe# tells her that #Rachel#'s new boyfriend is gorgeous. #Rachel# thinks it's better before it's better.
401,See the house,"#Phoebe Sr# invites #Phoebe# to see the house. #Phoebe# thinks it's an unusual house because it has no baths and the ocean is right there. #Phoebe# introduces #Phoebe# to #Phoebe's old best friend, Lily, who named #Phoebe# after #Phoebe's mother."
402,Turn on the tv,#Joey and #Chandler are watching the movie at #Chandler's place. #Chandler suggests #Joey turn on the TV.
403,Watch cooking show,Monica and Chandler are watching some cooking show. Chandler wants to see skinny people.
404,Pay the bill,Joey tells Chandler that the cable went out and he doesn't have money to pay the bill. Chandler offers to lend Joey some money. Joey refuses.
405,Flying a spaceship,#Chandler# tells #Chandler# that #Chandler# can't take it anymore. #Chandler# asks #Chandler# to fly a spaceship.
406,Introduce Pheebs,#Ross# introduces Pheebs to the group.
407,Switching,#Phoebe is angry at #Joey because he stung her. #Joey wants to switch with her. #PBS Volunteer refuses to switch with her.
408,Ask doctor,#Phoebe# suggests Rachel to ask her doctor about the problem.
409,A coat,#Rachel# is selling Joshua a coat and putting a note in the pocket. #Chandler# asks Joshua to call him sometime. #Joey# and #Ross# tell #Chandler# they went to see a collection of Victorian doorknobs and the Cupert-Hewitt museum.
410,A date,"Ross and Rachel are having a date at the restaurant. Ross is jealous of Rachel's boyfriend Ed Begley Jr. Ross thinks that Ed is a nice guy, but Rachel thinks he's weird. Ross thinks Rachel's boyfriend is weird too."
411,Fired,#Ross# tells Phoebe that she's fired.
412,The entertainment center,Ross asks Chandler and Phoebe where they got the finest oak East of the Mississippi. Chandler and Phoebe answer that they got the prettiest lace in all the land. Ross thinks that they are selling the entertainment center. Chandler changes the price to 50 dollars and Joey offers the best offer.
413,New apartment,#Joey# and #Monica# are talking about #Joey#'s new apartment. #Monica# asks #Joey# if he's doing his shark attack bit yet. #Joey# doesn't answer.
414,Finish the crossword puzzle,"Joey, Chandler and Monica finish the crossword puzzle in the middle of the night."
415,Movie preferences,#Ross# and #Joey# are having a conversation about their preferences in movies. #Ross# answers #Joey#'s questions and #Joey# asks #Ross# questions.
416,Big house,#Rachel# and #Phoebe# are surprised by the size of Chandler's house.
417,Buy a gift,Rachel tells her friend that she has bought a necklace and earrings for her birthday.
418,Ask questions,"Dr. Drake Remoray has a few routine questions to ask Dr. Wells. Dr. Wells sent Dr. Drake Remoray to interview Dr. Clifford Burnett, a neurologist. Dr. Clifford Burnett is a widower and Dr. Drake Remoray asks him personal questions."
419,,
420,Holiday song,#Phoebe# is writing a holiday song for everyone. #Rachel# thinks it's hard to rhyme with her name. #Joey# suggests a nickname.
421,Talk to someone,#Joey# tells Rachel that he wants to talk to her about something.
422,Create atmosphere,#Chandler# tells Phoebe he creates an atmosphere of support for the people working with him.
423,Have a baby,#Monica# tells #Monica# that Ross is in a whole other place. #Monica# thinks #Monica# should fly back to see Ross. #Chandler# and Joey are happy for her.
424,Date with a girl,"Ross tells Phoebe he got a date tonight and he can't decide between the two girls. Phoebe thinks Ross should give the other girl another chance. Ross thinks the other girl is pretty, smart, and fun but she's racist."
425,Pregnancy test,#Phoebe# and #Rachel# discuss Monica's pregnancy.
426,Apology,#Phoebe# apologizes to #Phoebe# for #Phoebe#'s behavior toward Roger. #Phoebe# wants to make it up to #Phoebe# but #Phoebe# thinks #Phoebe# should get Roger back.
427,Go out with an ex-boyfriend,#Monica# asks #Joey# to go out with an ex-boyfriend to do Joey a favor.
428,Pick up the person,Chandler tells the ladies to pay attention to their surroundings and tells them Joshua is here to pick up Rachel.
429,Clothes talk,Janice and Chandler meet up with Joey and Lorraine. They talk about their clothes and then they start to talk about their clothes.
430,Tell a friend,#Phoebe# tells #Ross# that Rachel is one of her closest friends and she doesn't want to tell her anything. #Rachel# asks #Phoebe# to go to the movie with her.
431,A picnic,"Joey, Monica, Chandler, Rachel, and Phoebe are planning a picnic in Central Park. Phoebe thinks it's a bad idea because it's not a trip. Monica tells Chandler to stop it and Phoebe tells Monica to stop it."
432,Receptionist,Phoebe asks the receptionist if her friend is in the hotel.
433,Putting down,Ross tells Rachel that Rachel's mom is putting her down. Rachel says it's all right.
434,Dating and baby,#Rachel# tells #Ross# she's done with dating. #Ross# thinks she'll love her baby more than any guy she's ever gone out with. #Rachel# thinks she'll eat ten candy bars.
435,Marriage advice,Ross and Rachel are celebrating 35 years of marriage. Ross asks his parents for some pearls of wisdom. They give him some advice.
436,Name of the boat,#Joey# and Rachel are arguing about the name of the boat.
437,Hold your breath,Joey and Phoebe are watching a video of Joey holding his breath for four minutes.
438,The tour of the apartment,Richard tells #Monica the tour of his apartment. #Richard's Date tells #Monica that #Richard's blind date switched the date. #Monica is fine with this.
439,Get a girl to do it,#Phoebe# asks #Frank# to get one of the other girls to do it. #Frank# is excited.
440,Ritual preparation,#Phoebe# and Rachel are preparing the sacrament for the ritual. Rachel thinks they shouldn't do it because it's not pure. Phoebe thinks they should do it because it's a ritual.
441,A pink shirt,#Mona's Date# tells #Mona# where she would be if she were a salmon shirt. #Mona# helps #Mona's Date# get it out.
442,Job application,#Ross fills out an application for a job in the kitchen and Chandler and #Joey are trying to get rid of him.
443,Coffee house,"#Rachel, #Phoebe, and #Monica are talking about the best coffee house. #Phoebe apologizes to #Rachel and asks if she wants to get back together."
444,Ask questions,"#Lydia# asks #Guy# about her mother's phone call. #Lydia# tells #Guy# she had a doctor, a nurse, and a helper guy. #Lydia# also tells #Guy# the Knicks won the game."
445,A wedding,Rachel tells her father that she and Ross won't be getting married because Ross doesn't want to. Dr. Green is shocked and wants to know why. Rachel tells him that Ross won't marry her because he thinks she's damaged goods.
446,Age and love,#Phoebe# and #Chandler# are talking about their age. #Phoebe# thinks they should buy a state and name it after themselves. #Pete# tells #Phoebe# he's crazy about her and #Ross# and #Joey# think it's normal.
447,Discuss a problem,"Joey tells Phoebe that they should go hang out at Totally Nude Nudes, but Phoebe turns to Joey and says they should hang out at her place."
448,Good and bad things,#Phoebe# and #Rachel# are talking about the good and bad things they'll miss. #Rachel# remembers the roller blades and #Monica# calls #Rachel# to ask about her boyfriend.
